true\pred,step_001,step_002,step_003,step_004,step_005,step_006,step_007,step_008,step_009,step_010,step_011,step_012,step_013
step_001,0.8476,0.0952,0.0381,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
step_002,0.6375,0.2000,0.1625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
step_003,0.3333,0.2024,0.4524,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
step_004,0.1538,0.0513,0.2564,0.3407,0.1868,0.0073,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000
step_005,0.0030,0.0030,0.0030,0.0122,0.8754,0.0942,0.0000,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000
step_006,0.0000,0.0000,0.0071,0.0426,0.3050,0.6099,0.0071,0.0213,0.0000,0.0071,0.0000,0.0000,0.0000
step_007,0.0000,0.0000,0.0000,0.0000,0.1429,0.5455,0.0649,0.2208,0.0130,0.0130,0.0000,0.0000,0.0000
step_008,0.0000,0.0000,0.0000,0.0000,0.1978,0.2967,0.0659,0.3516,0.0440,0.0220,0.0220,0.0000,0.0000
step_009,0.0000,0.0000,0.0000,0.0000,0.0769,0.1538,0.0154,0.2231,0.2231,0.3077,0.0000,0.0000,0.0000
step_010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,0.0121,0.0061,0.0970,0.8606,0.0121,0.0000,0.0000
step_011,0.0000,0.0150,0.0000,0.0000,0.0100,0.0100,0.0050,0.0200,0.0200,0.5050,0.3950,0.0150,0.0050
step_012,0.0000,0.0317,0.0000,0.0000,0.0159,0.0159,0.0000,0.0317,0.0000,0.1270,0.3968,0.2222,0.1587
step_013,0.0110,0.0275,0.0000,0.0000,0.0110,0.0110,0.0000,0.0000,0.0000,0.0440,0.1868,0.1923,0.5165
